Category,subCategory,Brand,Product,P/D/M,Kosher Symbol,Date Added,Notes,Guideline or Product
Alcohol,Advocaat,Bols,Advocaat,P,,,,Product
Alcohol,Advocaat,Cooymans,Royal Dutch Advocaat,P,,,,Product
Alcohol,Advocaat,Herman Jansen,Advocaat,P,,,,Product
Alcohol,Beer,,,,,,All regular NZ beers can be assumed to be Kosher & Pareve.,Guideline
Alcohol,Beer,,,,,,Australian Beers Ales Lagers Pilsener & Stout are Kosher & Pareve.,Guideline
Alcohol,Beer,Founders Organic Brewery  (Nelson),Generation Ale,P,KKLA,,,Product
Alcohol,Beer,Founders Organic Brewery  (Nelson),Long Black,P,KKLA,,,Product
Alcohol,Beer,Founders Organic Brewery  (Nelson),Red Head,P,KKLA,,,Product
Alcohol,Beer,Founders Organic Brewery  (Nelson),Tall Black,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer American Devil,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Bewitched Red Ale,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Black Tower,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Canadian Draught,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Classic American,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Cowboy Lager,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Creamy Brown,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Grand Bohemian,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Golden Wheat,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Hard Cider,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Linebacker Bock,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Mellow Amber,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Nut Brown Ale,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Oatmeal Stout,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Pale Export,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Pilothouse Pilsner,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer St Patrick’s Irish Stout,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Vienna Lager,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Weizenbier Wheat Beer,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer West Coast Pale Ale,P,KKLA,,,Product
Alcohol,Beer,Canterbury Breweries (NZ),Mr Beer Witty Wheat Monk,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Brands listed below are PAREVE beers -,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Canterbury Draught,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Waikato Draught,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Lion Red,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Lion Brown,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Steinlager,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Steinlager Edge,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Steinlager Pure,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Steinlager Premium Light,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Speight’s Distinction Ale,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Speight’s Gold Medal Ale,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Speight’s Old Dark,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Speight’s Pale Ale,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Speight’s Porter,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Speight’s Pilsener,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Speight’s Summer Harvest,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Speight’s Summit,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Speight’s Traverse,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Ice Beer,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Light Ice,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Rheineck,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Tasman Bitter,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Black Ice,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Black Mac,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Mac’s Gold,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Mac’s Great White,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Mac’s Hop Rocker,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Mac’s Light,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Mac’s Sassy Red,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Mac’s Spring Tide,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Mac’s Sundance,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Mac’s Twisted,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Castlepoint,P,KKLA,,,Product
Alcohol,Beer,NZ Breweries (Lion),Greenstone Lager,P,KKLA,,,Product
Alcohol,Beer,Foster’s,Carlton,P,,,,Product
Alcohol,Beer,Foster’s,Crown,P,,,,Product
Alcohol,Beer,Foster’s,Foster’s,P,,,,Product
Alcohol,Beer,Foster’s,V.B,P,,,,Product
Alcohol,Ciders,Cascade,Apple Cider,P,,,,Product
Alcohol,Ciders,Cascade,Ultra C Sparkling Blackcurrant Drink,P,,,,Product
Alcohol,Ciders,Strongbow,Strongbow Dry(bottles),P,,,,Product
Alcohol,Ciders,Strongbow,Strongbow Original(bottles),P,,,,Product
Alcohol,Ciders,Strongbow,Strongbow Sweet(bottles),P,,,,Product
Alcohol,Ciders,Strongbow,Strongbow Clear Cider in Can,P,,,,Product
Alcohol,Ciders,Strongbow,Strongbow Original Cider in Can,P,,,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Caramel,P,,,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Cassis,P,,,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Cinnamon,P,,,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Fraise,P,,,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Gomme,P,,,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Menthe,P,,,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Orgeat,P,,,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Vanille,P,,,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Noix De Coco,P,,,,Product
Alcohol,Cream Liqueur,Bailey’s,Coffee Liqueur,D,,,Products must be ‘Product of Ireland’,Product
Alcohol,Cream Liqueur,Bailey’s,Crème Caramel,D,,,Products must be ‘Product of Ireland’,Product
Alcohol,Cream Liqueur,Bailey’s,Mint Chocolate,D,,,Products must be ‘Product of Ireland’,Product
Alcohol,Cream Liqueur,Bailey’s,Original Irish Cream,D,,,Products must be ‘Product of Ireland’,Product
