Group,Sub-group,Brand,Products,P/M,Logo,Comment,Updated,Barcode,Guideline-Product
Alcohol,Advocaat,Bols,Advocaat,P,,,1/1/2000,,Product
Alcohol,Advocaat,Cooymans,Royal Dutch Advocaat,P,,,NO DATE,,Product
Alcohol,Advocaat,Herman Jansen,Advocaat,P,,,NO DATE,,Product
Alcohol,Beer,CanterburyBreweries (NZ),Mr Beer American Devil Mr Beer Bewitched Red Ale Mr Beer Black Tower Mr Beer Canadian Draught Mr Beer Classic American Mr Beer Cowboy Lager Mr Beer Creamy Brown Mr Beer Grand Bohemian Mr Beer Golden Wheat Mr Beer Hard Cider Mr Beer Linebacker Bock Mr Beer Mellow Amber Mr Beer Nut Brown Ale Mr Beer Oatmeal Stout Mr Beer Pale Export Mr Beer Pilothouse Pilsner Mr Beer St Patrick’s Irish Stout Mr Beer Vienna Lager Mr Beer Weizenbier Wheat Beer Mr Beer West Coast Pale Ale Mr B eer Witty Wheat Monk,P,KKLA,,NO DATE,,Product
Alcohol,Beer,Foster’s,Foster’s,P,,,NO DATE,,Product
Alcohol,Beer,Foster’s,Crown,P,,,NO DATE,,Product
Alcohol,Beer,Foster’s,Carlton,P,,,NO DATE,,Product
Alcohol,Beer,Foster’s,V.B,P,,,NO DATE,,Product
Alcohol,Beer,Founders Organic Brewery  (Nelson),Generation Ale Long Black Red Head Tall Black,P,KKLA,,NO DATE,,Product
Alcohol,Beer,NZ Breweries (Lion),Brands listed below are PAREVE beers - Canterbury Draught Waikato Draught Lion Red Lion Brown Steinlager Steinlager Edge Steinlager Pure Steinlager Premium Light Speight’s Distinction Ale Speight’s Gold Medal Ale Speight’s Old Dark Speight’s Pale Ale Speight’s Porter Speight’s Pilsener Speight’s Summer Harvest Speight’s Summit Speight’s Traverse Ice Beer Light Ice Rheineck Tasman Bitter Black Ice Black Mac Mac’s Gold Mac’s Great White Mac’s Hop Rocker Mac’s Light Mac’s Sassy Red Mac’s Spring Tide Mac’s Sundance Mac’s Twisted Castlepoint Greenstone Lager,P,KKLA,,NO DATE,,Product
Alcohol,Beer,NZ Breweries (Lion),"Australian Beers, Ales, Lagers, Pilsener & Stout are Kosher & Pareve.",P,NKA,,NO DATE,,Product
Alcohol,Ciders,Cascade,Ultra C Sparkling Blackcurrant Drink,P,,,NO DATE,,Product
Alcohol,Ciders,Cascade,Apple Cider,P,,,NO DATE,,Product
Alcohol,Ciders,Strongbow,Strongbow Original Cider in Can,P,,,NO DATE,,Product
Alcohol,Ciders,Strongbow,Strongbow Clear Cider in Can,P,,,NO DATE,,Product
Alcohol,Ciders,Strongbow,Strongbow Sweet (bottles),P,,,NO DATE,,Product
Alcohol,Ciders,Strongbow,Strongbow Original (bottles),P,,,NO DATE,,Product
Alcohol,Ciders,Strongbow,Strongbow Dry (bottles),P,,,NO DATE,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Menthe,P,,,NO DATE,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Vanille,P,,,NO DATE,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Noix De Coco,P,,,NO DATE,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Gomme,P,,,NO DATE,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Orgeat,P,,,NO DATE,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Cinnamon,P,,,NO DATE,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Caramel,P,,,NO DATE,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Cassis,P,,,NO DATE,,Product
Alcohol,Cocktail Syrups,LeJay Lagoute,Strop De Fraise,P,,,NO DATE,,Product
Alcohol,Cream Liqueur,Bailey’s,Original Irish Cream,D,,Products m ust be ‘Product of Ireland ’,NO DATE,,Product
Alcohol,Cream Liqueur,Bailey’s,Crème Caramel,D,,Products m ust be ‘Product of Ireland ’,NO DATE,,Product
Alcohol,Cream Liqueur,Bailey’s,Mint Chocolate,D,,Products m ust be ‘Product of Ireland ’,NO DATE,,Product
Alcohol,Cream Liqueur,Bailey’s,Coffee Liqueur,D,,Products m ust be ‘Product of Ireland ’,NO DATE,,Product
Alcohol,Cream Liqueur,Emmet’s,Cream Liqueur,D,,,NO DATE,,Product
Alcohol,Cream Liqueur,Godiva,Caramel Milk Chocolate,D,,,NO DATE,,Product
Alcohol,Cream Liqueur,Godiva,Cappuccino,D,,,NO DATE,,Product
Alcohol,Cream Liqueur,Godiva,Chocolate Cream,D,,,NO DATE,,Product
Alcohol,Cream Liqueur,Godiva,White Chocolate,D,,,NO DATE,,Product
